Time,timeFromLastRepair,timeToNextRepair
40568.16458333,0.34166666,24.07638667
40568.16666667,0.34375,24.07430333
40568.16875,0.34583333,24.07222
40568.17083333,0.34791666,24.07013667
40568.17291667,0.35,24.06805333
40568.175,0.35208333,24.06597
40568.17708333,0.35416666,24.06388667
40568.17916667,0.35625,24.06180333
40568.18125,0.35833333,24.05972
40568.18333333,0.36041666,24.05763667
40568.18541667,0.3625,24.05555333
40568.1875,0.36458333,24.05347
40568.18958333,0.36666666,24.05138667
40568.19166667,0.36875,24.04930333
40568.19375,0.37083333,24.04722
40568.19583333,0.37291666,24.04513667
40568.19791667,0.375,24.04305333
40568.2,0.37708333,24.04097
40568.20208333,0.37916666,24.03888667
40568.20416667,0.38125,24.03680333
40568.20625,0.38333333,24.03472
40568.20833333,0.38541666,24.03263667
40568.21041667,0.3875,24.03055333
40568.2125,0.38958333,24.02847
40568.21458333,0.39166666,24.02638667
40568.21666667,0.39375,24.02430333
40568.21875,0.39583333,24.02222
40568.22083333,0.39791666,24.02013667
40568.22291667,0.4,24.01805333
40568.225,0.40208333,24.01597
40568.22708333,0.40416666,24.01388667
40568.22916667,0.40625,24.01180333
40568.23125,0.40833333,24.00972
40568.23333333,0.41041666,24.00763667
40568.23541667,0.4125,24.00555333
40568.2375,0.41458333,24.00347
40568.23958333,0.41666666,24.00138667
40568.24166667,0.41875,23.99930333
40568.24375,0.42083333,23.99722
40568.24583333,0.42291666,23.99513667
40568.24791667,0.425,23.99305333
40568.25,0.42708333,23.99097
40568.25208333,0.42916666,23.98888667
40568.25416667,0.43125,23.98680333
40568.25625,0.43333333,23.98472
40568.25833333,0.43541666,23.98263667
40568.26041667,0.4375,23.98055333
40568.2625,0.43958333,23.97847
40568.26458333,0.44166666,23.97638667
40568.26666667,0.44375,23.97430333
40568.26875,0.44583333,23.97222
40568.27083333,0.44791666,23.97013667
40568.27291667,0.45,23.96805333
40568.275,0.45208333,23.96597
40568.27708333,0.45416666,23.96388667
40568.27916667,0.45625,23.96180333
40568.28125,0.45833333,23.95972
40568.28333333,0.46041666,23.95763667
40568.28541667,0.4625,23.95555333
40568.2875,0.46458333,23.95347
40568.28958333,0.46666666,23.95138667
40568.29166667,0.46875,23.94930333
40568.29375,0.47083333,23.94722
40568.29583333,0.47291666,23.94513667
40568.29791667,0.475,23.94305333
40568.3,0.47708333,23.94097
40568.30208333,0.47916666,23.93888667
40568.30416667,0.48125,23.93680333
40568.30625,0.48333333,23.93472
40568.30833333,0.48541666,23.93263667
40568.31041667,0.4875,23.93055333
40568.3125,0.48958333,23.92847
40568.31458333,0.49166666,23.92638667
40568.31666667,0.49375,23.92430333
40568.31875,0.49583333,23.92222
40568.32083333,0.49791666,23.92013667
40568.32291667,0.5,23.91805333
40568.325,0.50208333,23.91597
40568.32708333,0.50416666,23.91388667
40568.32916667,0.50625,23.91180333
40568.33125,0.50833333,23.90972
40568.33333333,0.51041666,23.90763667
40568.33541667,0.5125,23.90555333
40568.3375,0.51458333,23.90347
40568.33958333,0.51666666,23.90138667
40568.34166667,0.51875,23.89930333
40568.34375,0.52083333,23.89722
40568.34583333,0.52291666,23.89513667
40568.34791667,0.525,23.89305333
40568.35,0.52708333,23.89097
40568.35208333,0.52916666,23.88888667
40568.35416667,0.53125,23.88680333
40568.35625,0.53333333,23.88472
40568.35833333,0.53541666,23.88263667
40568.36041667,0.5375,23.88055333
40568.3625,0.53958333,23.87847
40568.36458333,0.54166666,23.87638667
40568.36666667,0.54375,23.87430333
40568.36875,0.54583333,23.87222
40568.37083333,0.54791666,23.87013667
40568.37291667,0.55,23.86805333
40568.375,0.55208333,23.86597
40568.37708333,0.55416666,23.86388667
40568.37916667,0.55625,23.86180333
40568.38125,0.55833333,23.85972
40568.38333333,0.56041666,23.85763667
40568.38541667,0.5625,23.85555333
40568.3875,0.56458333,23.85347
40568.38958333,0.56666666,23.85138667
40568.39166667,0.56875,23.84930333
40568.39375,0.57083333,23.84722
40568.39583333,0.57291666,23.84513667
40568.39791667,0.575,23.84305333
40568.4,0.57708333,23.84097
40568.40208333,0.57916666,23.83888667
40568.40416667,0.58125,23.83680333
40568.40625,0.58333333,23.83472
40568.40833333,0.58541666,23.83263667
40568.41041667,0.5875,23.83055333
40568.4125,0.58958333,23.82847
40568.41458333,0.59166666,23.82638667
40568.41666667,0.59375,23.82430333
40568.41875,0.59583333,23.82222
40568.42083333,0.59791666,23.82013667
40568.42291667,0.6,23.81805333
40568.425,0.60208333,23.81597
40568.42708333,0.60416666,23.81388667
40568.42916667,0.60625,23.81180333
40568.43125,0.60833333,23.80972
40568.43333333,0.61041666,23.80763667
40568.43541667,0.6125,23.80555333
40568.4375,0.61458333,23.80347
40568.43958333,0.61666666,23.80138667
40568.44166667,0.61875,23.79930333
40568.44375,0.62083333,23.79722
40568.44583333,0.62291666,23.79513667
40568.44791667,0.625,23.79305333
40568.45,0.62708333,23.79097
40568.45208333,0.62916666,23.78888667
40568.45416667,0.63125,23.78680333
40568.45625,0.63333333,23.78472
40568.45833333,0.63541666,23.78263667
