xdata,ydata,zdata,color
-0.0002892326,-0.0002690086,-0.0002678082,2.8326433
-0.0002874404,-0.0002685676,-0.0002633617,2.8506967
-0.0002859121,-0.0002678655,-0.0002618874,2.8666633
-0.0002857294,-0.0002676455,-0.0002603272,2.8680567
-0.0002856541,-0.0002652457,-0.0002558511,2.87014
-0.0002800685,-0.0002643608,-0.0002557466,2.87431
-0.0002787257,-0.0002624152,-0.0002540881,2.88194667
-0.0002763141,-0.0002615388,-0.0002540577,2.89305333
-0.0002740519,-0.0002609589,-0.0002522582,2.9048567
-0.0002738896,-0.0002540177,-0.0002507219,2.9159767
-0.0002732634,-0.0002528529,-0.0002499341,2.93403
-0.0002723513,-0.0002514594,-0.0002498467,2.9499967
-0.0002670254,-0.0002509914,-0.0002492869,2.95139
-0.0002661385,-0.0002467998,-0.000249162,2.9534733
-0.0002659268,-0.0002435157,-0.0002480655,2.9576433
-0.0002658035,-0.0002411306,-0.0002477779,2.96528
-0.0002640982,-0.0002398891,-0.0002471363,2.97638667
-0.0002618264,-0.0002383778,-0.0002467137,2.98819
-0.0002616445,-0.0002382378,-0.0002462366,2.99931
-0.0002611118,-0.0002377349,-0.0002432581,3.0173633
-0.0002605201,-0.0002375538,-0.0002425753,3.03333
-0.0002564488,-0.000234782,-0.0002425472,3.0347233
-0.0002553591,-0.0002320821,-0.0002419614,3.0409767
-0.0002549496,-0.0002319244,-0.0002416002,3.04861333
-0.0002524352,-0.0002310868,-0.000240728,3.05972
-0.000252155,-0.0002296209,-0.0002358117,3.0715233
-0.0002513,-0.0002267395,-0.0002351631,3.0826433
-0.0002508777,-0.0002193128,-0.0002344396,3.1006967
-0.0002487914,-0.0002174225,-0.0002329005,3.1166633
-0.0002469807,-0.0002149833,-0.000230953,3.1180567
-0.000241225,-0.0002148113,-0.0002294394,3.12431
-0.0002410311,-0.0002142777,-0.0002292019,3.13194667
-0.0002390423,-0.0002136792,-0.0002289661,3.14305333
-0.0002331795,-0.0002124686,-0.0002264421,3.1548567
-0.0002266358,-0.0002084766,-0.000224961,3.1659767
-0.0002265449,-0.0002068205,-0.000223608,3.18403
